,Date,Open,High,Low,Close,Volume
,"Sep 4, 2018",111.80,112.00,110.65,110.85,"6,391,228"
,"Sep 5, 2018",110.58,110.82,109.70,109.87,"6,388,627"
,"Sep 6, 2018",110.00,110.41,109.36,110.26,"5,267,192"
,"Sep 7, 2018",110.08,111.35,110.01,110.97,"4,755,131"
,"Sep 10, 2018",111.44,111.91,110.37,110.68,"4,636,558"
,"Sep 11, 2018",110.50,110.61,109.51,109.60,"5,488,942"
,"Sep 12, 2018",109.25,110.25,109.18,109.46,"5,236,734"
,"Sep 13, 2018",109.55,110.72,109.37,110.67,"5,119,351"
,"Sep 14, 2018",110.92,111.25,108.88,109.26,"6,012,443"
,"Sep 17, 2018",109.58,109.88,108.61,109.36,"5,592,864"
,"Sep 18, 2018",108.89,109.75,108.23,109.53,"4,937,821"
,"Sep 19, 2018",109.63,110.18,109.48,109.79,"5,964,771"
,"Sep 20, 2018",110.58,111.95,109.94,111.62,"7,121,781"
,"Sep 21, 2018",111.95,111.98,110.40,110.40,"25,753,718"
,"Sep 24, 2018",112.27,113.14,111.70,112.77,"9,232,253"
,"Sep 25, 2018",113.31,114.71,112.65,113.63,"12,169,388"
,"Sep 26, 2018",114.01,116.32,114.01,115.21,"11,141,544"
,"Sep 27, 2018",115.19,116.60,115.10,116.04,"5,195,314"
,"Sep 28, 2018",115.65,117.46,115.35,116.94,"7,366,846"
,"Oct 1, 2018",117.28,117.40,115.68,116.24,"8,644,469"
,"Oct 2, 2018",115.55,117.70,115.30,117.66,"6,441,742"
,"Oct 3, 2018",117.95,118.10,116.74,116.91,"6,111,663"
,"Oct 4, 2018",117.00,117.17,115.12,116.13,"6,442,769"
,"Oct 5, 2018",116.00,116.58,114.73,114.78,"5,836,074"
,"Oct 8, 2018",114.83,116.16,114.12,116.02,"5,652,284"
,"Oct 9, 2018",116.62,117.77,116.04,116.89,"6,761,416"
,"Oct 10, 2018",116.84,117.23,112.73,112.86,"9,006,470"
,"Oct 11, 2018",112.50,113.25,110.32,111.15,"10,045,632"
,"Oct 12, 2018",111.97,113.27,111.23,112.61,"5,963,944"
,"Oct 15, 2018",111.93,114.62,111.89,113.44,"6,628,815"
,"Oct 16, 2018",114.34,116.37,113.84,116.19,"7,619,024"
,"Oct 17, 2018",116.10,117.22,115.43,117.13,"7,120,646"
